ID,Answer
463,2
464,2
465,1
466,2
467,4
468,1
469,2
470,3
471,4
472,2
473,1
474,1
475,4
476,1
477,1
478,2
479,3
480,1
481,4
482,4
483,2
484,1
485,2
486,2
487,2
488,2
489,1
490,4
491,4
492,1
493,4
494,4
495,4
496,1
497,2
498,4
499,4
500,3
501,4
502,3
503,2
504,3
505,2
506,2
507,3
508,4
509,4
510,1
511,4
512,1
513,2
514,4
515,3
516,1
517,1
518,1
519,3
520,3
521,3
522,2
523,4
524,1
525,3
526,3
527,4
528,1
529,2
530,4
531,2
532,1
533,1
534,1
535,3
536,3
537,1
538,3
539,2
540,2
541,4
542,2
543,4
544,1
545,3
546,4
547,4
548,4
549,2
550,1
551,4
552,3
553,2
554,4
555,2
556,1
557,2
558,3
559,1
560,2
561,4
562,1
563,4
564,2
565,1
566,2
567,4
568,1
569,2
570,2
571,4
572,4
573,2
574,3
575,3
576,2
577,4
578,1
579,1
580,1
581,2
582,3
583,1
584,3
585,2
586,3
587,1
588,3
589,1
590,3
591,1
592,2
593,3
594,2
595,1
596,4
597,3
598,1
599,2
600,2
601,1
602,4
603,1
604,1
605,4
606,4
607,3
608,4
609,4
610,2
611,4
612,2
613,3
614,3
615,4
616,2
617,1
618,4
619,2
620,2
621,4
622,4
623,4
624,1
625,3
626,4
627,4
628,1
629,3
630,2
631,2
632,1
633,1
634,1
635,2
636,1
637,2
638,1
639,3
640,1
641,4
642,4
643,2
644,3
645,1
646,2
647,1
648,2
649,3
650,2
651,1
652,3
653,1
654,1
655,4
656,3
657,1
658,3
659,1
660,1
661,1
662,1
663,2
664,2
665,2
666,4
667,1
668,2
669,4
670,3
671,1
672,2
673,4
674,3
675,4
676,4
677,1
678,3
679,3
680,3
681,1
682,3
683,1
684,1
685,4
686,1
687,2
688,1
689,3
690,3
691,4
692,4
693,2
694,4
695,2
696,3
697,4
698,1
699,2
700,2
701,3
702,3
703,4
704,4
705,2
706,1
707,3
708,1
709,4
710,4
711,4
712,3
713,1
714,2
715,2
716,4
717,4
718,2
719,2
720,2
721,2
722,2
723,1
724,2
725,2
726,3
727,2
728,1
729,4
730,4
731,3
732,3
733,3
734,2
735,1
736,1
737,3
738,4
739,1
740,1
741,3
742,4
743,1
744,4
745,1
746,4
747,3
748,2
749,2
750,1
751,2
752,2
753,4
754,2
755,4
756,4
757,1
758,2
759,3
760,2
761,1
762,1
763,3
764,2
765,1
766,3
767,1
768,4
769,3
770,2
771,3
772,2
773,1
774,1
775,2
776,4
777,4
778,4
779,3
780,2
781,2
782,4
783,3
784,2
785,4
786,3
787,2
788,4
789,4
790,3
791,4
792,2
793,3
794,4
795,4
796,2
797,3
798,3
799,3
800,4
801,4
802,3
803,3
804,2
805,2
806,4
807,1
808,2
809,3
810,4
811,1
812,4
813,1
814,1
815,1
816,4
817,1
818,1
819,3
820,4
821,1
822,3
823,1
824,2
825,2
826,3
827,4
828,4
829,1
830,2
831,3
832,2
833,1
834,4
835,2
836,3
837,3
838,4
839,3
840,4
841,4
842,2
843,4
844,1
845,2
846,2
847,1
848,1
849,1
850,3
851,3
852,3
853,4
854,1
855,1
856,3
857,1
858,2
859,2
860,1
861,1
862,2
863,1
864,1
865,2
866,4
867,3
868,1
869,2
870,2
871,3
872,2
873,2
874,1
875,4
876,2
877,2
878,2
879,1
880,3
881,2
882,2
883,1
884,2
885,1
886,2
887,1
888,1
889,2
890,4
891,1
892,1
893,4
894,4
895,3
896,2
897,1
898,2
899,1
900,2
901,4
902,2
903,4
904,1
905,3
906,4
907,2
908,4
909,3
910,2
911,1
912,4
913,1
914,1
915,3
916,4
917,2
918,3
919,4
920,4
921,1
922,2
923,2
924,2
925,2
926,2
927,3
928,1
929,1
930,3
931,2
932,2
933,1
934,3
935,4
936,3
937,1
938,1
939,1
940,4
941,1
942,3
943,1
944,2
945,1
946,3
947,3
948,4
949,4
950,2
951,4
952,1
953,3
954,4
955,4
956,4
957,1
958,4
959,1
960,2
961,3
962,4
963,2
964,4
965,4
966,3
967,4
968,4
969,3
970,1
971,4
972,1
973,3
974,4
975,1
976,1
977,3
978,1
979,2
980,1
981,3
982,4
983,4
984,2
985,4
986,2
987,3
988,2
989,4
990,2
991,3
992,3
993,1
994,3
995,1
996,1
997,1
998,2
999,2
1000,4
