passage,question,number,unit,yesno,,spans,query_id,review,review_date,comment
"晚餐時媽媽做了她的拿手好菜—糖醋里肌,材料除了裹粉油炸成金黃色的瘦肉,還有鮮綠的青椒、澄黃的鳳梨片和勾芡的紅色番茄醬甜汁","文中提到糖醋里肌,材料有哪些是蔬菜",,,,,"青椒,鳳梨,番茄",1007-1,,,
"晚餐時媽媽做了她的拿手好菜—糖醋里肌,材料除了裹粉油炸成金黃色的瘦肉,還有鮮綠的青椒、澄黃的鳳梨片和勾芡的紅色番茄醬甜汁。四溢的香味、漂亮的顏色,以及盤子上一朵蝴蝶蘭的修飾,真是賞心悅目,引得我們食指大動。而酸酸甜甜、滑滑嫩嫩的滋味,讓每個人忍不住都多吃了一碗飯,連想要減肥的姊姊也不例外。爸爸說:「媽媽今天做的糖醋里肌,可說是我們家餐桌上的大美人。」媽媽笑著問:「那我是什麼?」「當然是我們家永遠的第一美人!」",文中提到哪些家庭成員?,,,,,"爸爸,媽媽,姊姊",1008-1,,,
"老師穿了一件新衣裳，底色是晶瑩的藍，不規則的白色色塊很藝術的點綴著。上課時老師顯得分外有精神,不但笑容甜美,而且聲音清亮,都聽得很入迷。下課時,毛毛問我:「你有沒有覺得老師今天特別好看?」我說:「對呀!」「為什麼呢?」毛毛又問。我還來不及回答,玲瓏已經接話:「因為老師把雲朵穿在身上啊!」",文中提到幾種顏色?,,,,,"藍,白,",,,,
"放學回家,發現客廳茶几上有一金新插的花。淡淡的香氣,是香水百合散發出來的。是媽媽的傑作嗎?媽媽說:「你姊姊在學插花,成果很不錯吧?」姊姊開心的說:「上個月,我們辦公室有人送來一盆花,大家的工作情緒就突然變得高昂起來。我因此想到,如果讓我們天天和花相遇,讓家裡增添一點新鮮的色彩和芬芳的香氣,家裡的情調就會更美好。」「天天和花相遇?」爸爸稱讚姊姊:「你也可以寫詩了。」",文中提到幾種地點?,,,,,"家,客廳,辦公室",1009-1,,,
,文中提到幾種情緒的形容詞?,,,,,"開心,高昂",1009-2,,,
"你有沒有想過:當你正興高采烈的和同學玩耍時,在地球遙遠的另一端,那兒的小朋友還沉睡在夢鄉中呢!當你炎炎夏日在海濱游泳時,地球其他地方的小朋友,卻忙著打雪 仗、堆雪人。儘管我們居住的國家不同,膚色、語言、穿著、打扮、生活習慣也各異其趣,但是所有的人都有一個共同點—「我們都生活在這個地球上。 
在從前交通電信不發達的時代,講到出國仿佛是到另一個星球,真是困難重重。但是隨著科技的高度發展,交通工具的日新月異,東西半球間的距離似乎愈來愈近,人與人之間的接觸也愈來愈頻繁。每天翻開報紙,打開電視,國際上發生的種種新聞,常常使我們有置身萬花筒中的感覺。昨天才在巴黎流行的時裝,也許今天就會在臺北街頭出現。感覺上我們居住的這個地球,好像變得愈來愈小,再加上出國觀光旅遊的人數與日俱增,和各國人民接觸的機會,也愈來愈多,原本遙遠、陌生的國家,變得像隔壁鄰居一樣的熟悉, 真可稱得上是「天涯若比鄰」。 
許許多多國家有趣的生活習慣與禮儀,不僅擴充了我們的國際視野,也增廣了我們的見聞。在飲食習慣方面,像講究時間和效率的美國人,典型的飲食就是速食,其中最受歡 的食品,便是大家熟知的熱狗、漢堡和甜甜圈等;法國人最愛吃乳酪，平均每人每年要消費二十公斤的乳酪;韓國人則是三餐都離不開酸辣的泡菜,每到深秋時節,家家戶戶生活中的大事，便是醃製泡菜。而講究禮節的日本人,是最注重鞠躬的民族,一位電梯服務員說,他平均一天要鞠躬兩千五百六十次。泰國人則認為頭顱是最高貴的,外人不能隨便觸摸,所以理髮師為顧客理髮前,還得先說一聲「對不起」。這些各具特色的風俗習慣,使得這個世界更為繽紛多彩。 ",文中提到哪些國家?,,,,,"美國,法國,韓國,日本,泰國",1010-1,,,
,文中提到哪些食物?,,,,,"熱狗,漢堡,甜甜圈,乳酪,泡菜",1010-2,,,
,文中提到哪些季節?,,,,,"夏,秋",1010-3,,,
"小故事的啟示
讓路給小鴨子!這是真的嗎?美國鄉村公路上車輛不多,公路兩邊林木茂盛,常會看見小松鼠在林間自在的跑東跑西,爬上爬下;也常看到野鴨三五成群,搖搖擺擺,慢慢踱著方步,悠然自得的穿過公路。而駕駛的人,會自動把車子停下來,讓牠們先走。在美國,讓路給小鴨子是常見的事,愛護小動物,更被他們視為天經地義。
冬天到了,大雪紛飛,寒風怒號,小鳥、野兔幾乎沒有食物可吃。在美國,許多人家就在後院,豎起一個鳥屋,撒一些粟米,給飢寒交迫的鳥兒吃,幫牠們度過艱難的寒冬。有時他們也會丟一些紅蘿蔔在後院裡,兩三天後,紅蘿蔔不見,只見一朵朵梅花般的腳掌印出現在雪地上,顯然野兔已享用過紅蘿蔔大餐了。
在德國的鄉村公路上,有時會看到一些特別的路標,上面畫著鹿或野兔,同時還有些數目字標示,原來這是在告訴開車的人,前面幾公里處有鹿或野兔出沒,要大家小心駕駛,免得傷害到牠們。因此開車的人,會謹慎的、慢慢的駕駛,偶然會從路旁的樹林中,發現奔跑的野鹿,那份驚奇欣喜的心情,又豈是筆墨所能形容!
可曾看過「威鯨闖天關」的電影嗎?片中的主角威利是一條鯨魚,兩歲的時候,在冰島海域被捕獲,經過嚴格的訓練,牠成了墨西哥市海洋公園唯一的表演明星。後來被選為這部影片的主角,牠那又可愛、又逗趣、又有靈性的表演,深深感動了全球觀眾的心。多年來,由於炎熱的天氣和人造海水的化學物質,使牠的健康受到嚴重的破壞。經過多少人的努力,威利終於野放了。回到牠的故鄉冰島海域。在專業人員和保育人士的照顧下,威利的體重增加了近千磅。
在苗栗通霄的海灘,有人發現一隻擱淺的海豚,大家叫牠「阿通伯」。牠又瘦、又弱、又有病,而且遍體鱗傷。發現牠的人費盡九牛二虎之力,把牠送到附近的海洋生態育園區,在工作人員細心的照顧下,經過一段時間的休養，牠的身體終於復原。阿通伯可以野放了,牠要回家了。電視新聞裡播出阿通伯野放的畫面,蔚藍的大海迎接著牠,牠的志工們,依依不捨的含淚跟牠揮手道別,只見牠在起伏的海浪中,時隱時現,漸行漸遠。大家心中默默的為牠祝禱,希望這擱淺在通霄海灘的海豚,能找到牠的同伴,從邀遊大海,重享自由自在的日子。「從這些小故事中,可以讓我們得到一些啟示,那就是在這地球上所有的生物,都跟人類一樣享有平等的生存權利,必須受到應有的尊重。
",文中提到哪些動物?,,,,,"松鼠,野鴨,小鳥,野兔,鹿,鯨魚海豚",1011-1,,,
,文中提到的動物哪些住海裡?,,,,,鯨魚海豚,1011-2,,,
"夜晚,盜獵者乘坐長長的獨木舟,悄悄的划進沼澤區。船頭的人用手電筒不斷的掃射,發現水面上露出一對紅色的眼睛。他趕緊叫同伴用長篇把船穩住,然後慢慢站起身來,舉槍瞄準那兩眼之間的部位。「砰」的一聲槍響!破寂靜的夜空,水面一陣翻動，他們迅速的把船划了過去，翻轉獵物的身體,熟練的用刀劃開肚皮,把整張鱷魚皮剝了下來。

每年有無數的鱷魚被這些盜獵者殺害,鱷魚皮被運送到皮革製造廠,經過加工處理,最後以時髦的皮包、皮鞋造型,重新出現在各大百貨公司的櫥窗裡。不僅鱷魚如此,其他動物也遭受到同樣的命運,為了滿足人類的需求及喜好,魚翅、熊掌、犀牛角等都成了食補或藥用的材料,貂皮大衣、虎皮地毯、象牙雕刻等,也成了人類裝飾的用品,使得越來越多的野生動物受到了危害。

除了人為的迫害以外,更嚴重的是,近一兩百年來,工業快速發展帶來的嚴重汙染,和人類毫無計畫的砍伐森林改變地貌,都大大破壞了各種動物的生存環境。像臺灣的黑熊就是這樣,過去多年一直被人類不斷的捕殺,連牠們住的山林也一再的被開發,生存的空間越來越小,食物的來源也越來越缺乏。事實上,不僅臺灣地區很多動物面臨絕機,根據調查顯示,全世界瀕臨絕種的動物,多達數千之多。其中我們比較熟悉的,像中國的熊貓、非洲的金錢豹、印度的孟加拉虎等,甚至海洋中體型龐大的藍鯨和灰鯨,由於人類的濫捕濫殺,也遭到絕種的威脅。
野生動物越來越少,對我們人類有什麼影響呢?這些動物不能存活,代表地球的生存環境愈來愈壞,人類的厄運正在開始。也就是說,到了最後,人類也難逃絕種的命運。何況這些動物都是地球的自然資源,必須維持一定的數量。才能代代相傳,生生不息,大自然的生態才能平衡。如果一味的趕盡殺絕,終有一天人類會自食惡果。
慶幸的是,世界各地愛護野生動物的人士,紛紛成立各種組織,展開拯救生態環境和野生動物的工作。成立自然保護區,訂定「野生動物保育法」,讓野生動物和牠們的家能得到照顧,能夠不受打擾的繁殖下一代。我們要知道,任何一種生物從地球上消失,將永遠不會再出現,我們再再也看不到這些可愛的動物了。如果生態遭受到破壞,人類也無法獨生存在地球上。試想地球是我們的家,我們怎能不好好的珍惜它呢?",文中提到哪些動物?,,,,,"人,鱷魚,黑熊,熊貓,金錢豹,孟加拉虎,藍鯨,灰鯨,",1012-1,,,
,文中提到鱷魚皮可以做成什麼?,,,,,,1012-2,,,
"湯姆歷險記是美國名作家馬克·吐溫的作品。完成於西元一八七六年,是以美國南部密西西比河邊的一個小鎮為背景,寫小頑童湯姆和哈克的故事。

這本書讓我印象最深刻的,莫過於湯姆刷圍牆的那一章。湯姆的母親早逝,他和弟弟跟著溫和善良的波莉姨媽過日子。湯姆是個聰明、勇敢而又頑皮的孩子,他常逃學,跑到河邊游泳、釣魚；躺在在樹下,看藍天白雲做白日夢,日子過得快樂極了。有一次,波莉姨媽真被他氣壞了,下定決心要好好的管管他,罰他在週末做苦工刷圍牆。

「星期六的早晨,陽光燦爛,每一個孩子的臉都笑容洋溢,準備度過快樂的夏日週末。只有湯姆,得提著石灰桶,拿著長柄刷子做苦工。湯姆心中很不甘願,正好他的朋友班,吃著蘋果,一步三跳的走過來。湯姆假裝沒看見他,只是面帶笑容,專心一意的刷牆,這個舉動果然吸引了班的好奇心。他覺得湯姆似乎是在做一件趣的事,於是忍不住請求讓他刷刷看,最後甚至用蘋果來交換這新奇的刷牆工作。結果,要求刷牆孩子一個接一個,湯姆得到的「戰利品」有:風爭、十二顆石彈子、一個洋鐵作的小兵......。湯姆成了一個「大富翁」,更妙的是他不用工作,那道圍牆卻刷得又白又漂亮。

書裡還有一個重要的人物,他就是湯姆的死黨哈克。有一次,哈克提著一隻死貓來找湯姆,說是只要把死貓丟到一個新墳墓上,嘴裡念念咒語,頭上長的熱獅子就會自動掉到地上去。於是，當夜深了,湯姆從窗口溜出來,悄悄的跟哈克到墓地去舉行這種神秘的儀式。誰知道卻在墓地看到到兇殺案,他們真嚇壞了,兩人發誓誰也不能洩漏出去。但是,當湯姆在法庭上看到沒動手殺人的人,被冤枉成殺人犯時,他忍不住上前官舉發真正的兇手,救了那被冤枉的人,湯姆因此成為鎮上的英雄。這正表現出湯姆的勇氣,和好打抱不平的精神。

湯姆歷險記裡最能表現湯姆勇敢、機智、臨危不亂的,是寫他和蓓姬在山洞裡迷路的那一章。那山洞有彎彎曲曲數不清的岔路,就像迷路一樣,如果你不熟悉,在裡面迷了路,哪怕幾天也找不到出口,而湯姆和蓓姬就在這山洞裡迷路了。他們兩人只有一個小蛋糕,還有幾支蠟燭,當湯姆察覺到情況險惡時,他不露聲色的安慰蓓姬,並且節省使用蠟燭,他們在洞裡繞了三天三夜,卻找不到出路。但是湯姆絕不失望,絕不灰心,他想,與其坐著等待救援,不如自己繼續嘗試找出路。最後他終於發現一個出口,當兩人回到鎮上,全鎮的人都歡欣鼓舞，波莉姨媽和蓓姬的母親更是欣喜若狂。因此,湯姆又成了大家心目中的英雄。

讀了湯姆歷險記後，我不但喜歡頑皮又勇敢的湯姆,也喜歡哈克。因為哈克的爸爸是個酒鬼,從來不照顧他,但是他從不為吃不飽、穿不暖而苦惱,他永遠自得其樂。湯姆和哈克都很勇敢,也都充滿冒險的精神。隨著書裡情節的發展,湯姆和哈克成了我內心深處的好朋友。希望有一天,我能到美國南部去遊歷,看看那美麗古老的密西西比河,純樸的小鎮和那美麗的棉花田。更希望我能像湯姆和哈克一樣,無論面對什麼麼艱難、困苦和危險,仍能充滿信心和希望,快樂的生活。
",文章中提到哪些人名?,,,,,"湯姆,馬克·吐溫,哈克,波莉,班,蓓姬",1013-1,,,
,文中提到刷牆工作湯姆得到哪些物品?,,,,,"蘋果,風爭,十二顆石彈子,一個洋鐵作的小兵",1013-2,,,
"東漢時代的楊震,是一位品德高尚、學問淵博的人,全國各地慕名而來,向他求教的弟子多達千人。由於他是關西人,所以大家都尊稱他為「關西孔子」。  有一次,他要到山東的東萊去就任太守,途中經過昌邑縣。昌邑縣的縣令王密,曾經受過楊震的提拔,心存感激, 想要報答他。聽說楊震到了昌邑縣,就在半夜裡捧著十斤黃金來求見楊震。  王密跪在地上,非常誠懇的說: 「下官昌邑縣令王密,承蒙您的提拔,衷心感激,特地獻上黃金十斤,聊表謝意,希望大人笑納。」  楊震感到十分驚訝,認為王密實在太不了解他了,連忙說道:  「王兄,你我也認識多年了,難道你還不知道我的為人嗎?你能當官,是因為你的才幹,並不是因為我的提拔;何況官位是國家的,你犯不著用黃金來答謝我。你這麼做,就是賄賂的行為,已經觸犯國法了。」  王密一時沒會過意來,以為楊震害怕犯法,不敢接受魄贈,趕忙低聲的說:「現在已經夜闌人靜了,絕對沒有人知道這件事,大人,這只是一份薄禮,您就放心收下吧!」  楊震聽了,非常生氣,沒有想到王密竟說出這樣的話來,於是板起臉孔,嚴正的說:「這是什麼話?這件事天知道,神知道,我知道,你知道,怎能說沒有人知道?」  這一番話說得王密面紅耳赤,十分惭愧,只好低著頭立刻告退。  後人知道了這件事情,敬佩楊震的廉潔可風,特地蓋了一座「四知堂」來表彰他的美德。  楊震一生,為官清廉,奉公守法,絕不私接賓客,也不取非分之財,僅靠一份微薄的薪俸養家,所以家計十分艱困。他雖然位居高官,可是子孫出門都得步行,沒有車馬代步,三餐吃的是粗茶淡飯,沒有魚肉佐餐。他的長輩和朋友們實在看不過去,都勸他說:  「你不為自己著想,也該為子孫積點錢財,購置田產, 好讓他們的生活寬裕一些呀!」  楊震聽了,只是笑笑的說: 「別人留田產給子孫,我可是留清譽給他們,讓後人知道他們是清廉官吏的後代,這樣的遺產還不夠豐厚嗎?」  在他「清白廉潔」家風的薰陶下,楊震的子孫也都賢能出眾,成為國家的棟梁,受人敬重。",文章中提到哪些人名? ,,,,,"楊震,孔子,王密",1014-1,,,
"西元一六O九年初夏,伽利略在威尼斯聽說有人發明了望遠鏡。他便以自己的科學知識為基礎, 弄懂了製作望遠鏡的原理後,馬上動手造了一架。他的望遠鏡可以把東西放大一千倍,拉近三十倍，超越了人類視力的限制。他興奮的把望遠鏡轉向無垠的天空,觀察月亮、銀河以及燦爛的太陽，看到了許多以前的人所不知道的現象:月亮表面凹凸不平,像地球一樣散布著深谷與斷層;銀河並非發光的雲氣,而是由無數星球所組成的;太陽的黑點，無論形狀及大小都變化萬千。 
藉著這些觀察所得與精確的數學計算,伽利略深信之前波蘭學者哥白尼提出的「地動說」—太陽靜止不動,地球與行星圍繞太陽運轉,確是事實，而非一般人認為的數學假設。但在當時,絕大多數的人仍然以為,地球才是宇宙的中心,太陽、月亮和其他的星球都繞著地球轉動。握有強大權勢的天主教會,也以聖經的記載-如「神將地立在根基上,使地永不動搖」等,作為自然界的真理，堅信地球為神所創造,而且是宇宙的中心。 
伽利略才華洋溢,他以生動的方式向大眾介紹望遠鏡,寫了一本名為星星的使者的小書,說明他的發現,而引起大家熱烈的討論,並給他崇高的讚譽。伽利略衷心希望除了天文學家或數學家外,一般的民眾也可以享受這些新知所帶來的喜悅。可是,他的熱情與好意卻為自己帶來天大的災禍。「天主教會漸漸感受到一種強大的壓力,害怕伽利略的言論會動搖教徒的信心。尤其伽利略用親身觀察的方式去理解「上帝創造的自然」,更讓教會惶恐不安。伽利略所持的理由是:造物主既賦予人類感官、理性與聰明才智,就不可能要我們放棄由此得到的知識。他說,如果古代的哲學家，看到我們今日所看到的現象,也一定會做出和我們相同的判斷。同時,他本著對教會的敬愛及對天文學發展趨勢的了解,希望教會能辨別宗教與科學的分際,謹慎的詮釋聖經中與自然真理相違背的章節。 
然而,教會畢竟無法接受他的辯白,教皇還是下令傳訊他到羅馬,接受宗教法庭的審判。他以違逆神的旨意及聖經的教導,被判終身軟禁,在疾病與寂寞中孤獨的死去。不過,他的論證在幾百年後的今天看來,仍舊是屹立不變、顛撲不破的真理。",文中提到哪些城市或國家?,,,,,"威尼斯,羅馬,波蘭",1015-1,,,
,文章中提到哪些人名? ,,,,,"哥白尼,伽利略",1015-2,,,
"賴東進出生在乞丐家庭,家裡共有十二個小孩。父親 眼全盲,母親與大弟都是重度智障,全家十四口四處流浪, 靠乞討維生。賴東進身為長子,從小除了必須陪著父親四處行乞,以求得全家溫飽外,更必須肩負起照顧母親及弟妹的責任。他說:「在十歲以前,我們居無定所,我幾乎是在寒風、露水、日晒、大雨中度過童年。樹是我的屋頂,大地是我的床,墳場是我的家。」 
由於每天赤腳行乞,賴東進腳底結了一層厚厚的繭, 堅韌到連踩在玻璃上都刺不破。他嘗盡人間的冷暖,受盡別人的嘲罵,只為求得一家人填飽肚子,活著看見明天的太陽 他說:「我們沒有選擇的權利,別人施捨給我們什麼,我們就吃什麼。有時飯粒掉到地上,撿起來也顧不得髒,還是一樣吞進肚子裡。」 

賴東進直到十歲,才開始讀小學。為了家人的生活,他每天一放學,就得牽著爸爸去行乞,車站前,夜市裡,爸爸 彈著月琴,邊奏邊唱,賴東進在旁邊藉著微弱的路燈餘光, 跪在地上寫功課。每當有人丟下零錢,他得馬上放下筆向人磕頭道謝。雖然地面凹凸不平,燈光又很微弱,但他的字在 班上仍是寫得最好的,翻開作業,每一篇都是甲上。賴東進 說:「不管大街上再吵、再鬧,越是困難,我越覺得讀書時 間的可貴,越是要珍惜。」 
就是這股認真不服輸的精神,小學六年他一共拿了八十幾張獎狀,而且年年當選班長。國中畢業以後,賴東進選擇進入職校,開始半工半讀的生活。在工廠裡他認真學習,從最基層的打雜工,到技術層面的工作,他一點一滴的學, 獲老闆的重視與信任。他說:「我的流浪生活讓我深切 
白,世界上沒有僥倖,只有靠自己的努力,才能獲得生命的一切。」 

賴東進憑著過人的意志,終於闖出一片天空。他從匍匐地上乞討求生的小乞丐,變成擁有員工五十餘人的工長,不僅事業有成,而且家庭美滿,民國八十八年更獲得十大傑出青年的殊榮。在得獎的那一天,他手握著金手獎獎座,眼望著來賓席上智障的母親和大弟,用堅毅的口吻,發表得獎感言,他特別提到:「感謝老天給了我這麼充滿磨練的生活環境、坎坷的際遇,以及我重殘的雙親!我告訴自己,我要做給上天看,不論再怎麼苦,再怎麼不幸,我都能夠走出自己的一條路,為自己開創一片天!」全場的來賓無不被他坎坷的境遇和奮鬥的精神所感動,紛紛起立鼓掌,給予最高的敬意。"," 請問文章中賴東進獲民國八十八年更獲得十大傑出青年,得獎的那一天哪些家人參與?",,,,,"母親,大弟",1016-1,,,
